dataset.format_name,dataset.display_name (series title),dataset.source,dataset.dbxref_id,dataset.dbxref_type,assay name,dataset.assay_id (obi_id),taxon_id,dataset.channel_count,dataset.sample_count,dataset.is_in_spell,dataset.is_in_browser,dataset.description (series_summary),datasetlab.lab_name,datasetlab.lab_location,keywords (|),pmids (|),dbentity.display_name,dataset_url.obj_url,dataset_url.url_type
GSE49026,SMORE-seq maps both ends of transcripts and identifies widespread promoter-associated non-coding RNA governed by TATA elements.,GEO,GSE49026,GEO,RNA-seq assay,OBI:0001271,4932,,2,0,1,SMORE-seq (Simultaneous Mapping Of RNA Ends by sequencing) is developed to simultaneously identify the strongest TSS (Transcription Start Site) and PAS (Polyadenylation Site),"Iyer, VR",University of Texas,transcription|mRNA processing,24413663,Park_2014_PMID_24413663.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE49nnn/GSE49026/,GEO
E-MTAB-1316,Genome-wide measurement of whole transcriptome versus histone modified mutants,ArrayExpress,E-MTAB-1316,ArrayExpress,ChIP-chip assay,OBI:0001248,4932,,4,0,1,Role of histone modifications and early termination in pervasive transcription and antisense-mediated gene silencing in yeast; Cryptic Unstable Transcripts (CUTs) mapping,"Stutz, F",University of Geneva|Stanford University,transcriptional regulation|histone modification,24497191,Castelnuovo_2014_PMID_24497191.zip,https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1316/files/,ArrayExpress
GSE52286,Average half-lives of mRNA 3'isoforms,GEO,GSE52286,GEO,RNA-seq assay,OBI:0001271,4932,,1,0,1,"Half-lives of 21,248 mRNA 3_ isoforms in yeast were measured by rapidly depleting RNA polymerase II from the nucleus and performing direct RNA sequencing throughout the decay process.","Struhl, K",Harvard University,RNA catabolism,24529382,Geisberg_2014_PMID_24529382.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52286/,GEO
GSE47023,Genome-wide measurement of nucleosome occupancy during cell aging,GEO,GSE47023,GEO,MNase-seq assay,OBI:0001924,4932,,5,0,1,Nucleosome loss leads to global transcriptional up-regulation and genomic instability during yeast aging,"Tyler, JK",University of Texas,chromatin organization,24532716,Hu_2014_PMID_24532716.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47023/,GEO
PRJNA245106,Identification of genome-wide transcripts; looking at nonsense-mediated RNA decay pathway,SRA,PRJNA245106,SRA,RNA-seq assay,OBI:0001271,4932,,2,0,1,Translation of small open reading frames (> 200 nucleotides) within unannotated RNA transcripts in Saccharomyces cerevisiae; unannotated RNAs,"Baker, KE",Case Western Reserve University,RNA catabolism,24931603,Smith_2014_PMID_24931603.zip,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA245106,SRA
Kang_2015_PMID_25213602,Genome-wide transcript profiling by paired-end ditag sequencing,SGD,,,RNA-seq assay,OBI:0001271,4932,,3,0,1,Newly identified novel transcripts by polyA sequence,"Zhao, X",Shanghai Jiao Tong University,transcription,25213602,Kang_2015_PMID_25213602.zip,,
GSE56435,Genome-wide identification of transcription terminations sites; pA pathway and non-polyadenylation pathway in strains missing Sen1p or Nrd1p,GEO,GSE56435,GEO,CLIP-seq assay (cross-linking immunoprecipitation),OBI:0001858,4932,,10,0,1,"Genome-wide mapping of yeast RNA polymerase II termination on minus strand in Nrd1p-FRB strain, no rapamycin","Corden, JL.",Johns Hopkins Medical School,transcriptional regulation,25299594,Schaughency_2014_PMID_25299594.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE56nnn/GSE56435/,GEO
GSE53420,Genome-wide identification of Rnase H targets; looking at R-loops,GEO,GSE53420,GEO,ChIP-seq assay,OBI:0000716,4932,,4,0,1,Genome-wide distribution of RNA-DNA hybrids identifies RNase H targets in tRNA genes retrotransposons and mitochondria.,"Tollervey, D",University of Edinburgh,transcriptional regulation,25357144,El Hage_2014_PMID_25357144.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE53nnn/GSE53420/,GEO
GSE61888,Examining chromatin dynamics through genome-wide mapping of 26 histone modifications at 0 4 8 15 30 and 60 minutes after diamide addition using MNase-ChIP,GEO,GSE61888,GEO,ChIP-seq assay,OBI:0000716,4932,,156,0,1,High resolution chromosome dynamics time course of h2ak5ac; 0 to 60 minutes after daimide addition,"Friedman, N",The Hebrew University,histone modification,25801168,Weiner_2015_PMID_25801168.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE61nnn/GSE61888/,GEO
GSE98031,NMP adenine lesions on the minus strand in mag1 deletion strain under methyl methanesulfonate (MMS)-induced alkylation over 2 hour time course,GEO,GSE98031,GEO,DNA methylation sequencing assay,OBI:0001266,4932,,24,0,1,Map of N-methylpurine (NMP) lesion alkalation damage across the yeast genome,"Wyrick, JJ",Washington State University,"DNA replication, recombination and repair",28912372,Mao_2017_PMID_28912372.zip,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE98nnn/GSE98031/,GEO
